PF,num_test,modelDL,modelET,blast,hmm,protenn
PF07110,2,0.0,0.0,1.0,0.5,0.0
PF01878,9,0.0,0.0,0.33333333333333337,0.11111111111111116,0.11111111111111116
PF02472,6,0.0,0.0,0.16666666666666663,0.16666666666666663,0.0
PF09810,2,0.0,0.0,0.0,0.5,0.0
PF03081,5,0.0,0.0,0.0,0.4,0.0
PF09721,7,0.0,0.0,0.0,0.4285714285714286,0.0
PF03016,3,0.0,0.0,0.0,0.33333333333333337,0.0
PF03372,42,0.09523809523809523,0.04761904761904767,0.23809523809523814,0.5476190476190477,0.0
PF03124,1,0.0,0.0,0.0,0.0,0.0
PF06160,2,0.0,0.0,0.0,0.0,0.0
PF13013,1,1.0,1.0,1.0,1.0,1.0
PF00754,2,0.0,0.0,0.5,0.0,0.0
PF01557,2,0.0,0.0,0.0,0.0,0.0
PF02913,3,0.0,0.0,0.0,0.0,0.0
PF00890,14,0.3571428571428571,0.0,0.4285714285714286,1.0,0.2142857142857143
PF01494,2,0.0,0.0,0.0,1.0,0.0
PF04385,4,0.0,0.0,0.75,0.0,0.0
PF14977,1,0.0,0.0,0.0,1.0,0.0
PF15865,5,1.0,0.6,0.8,0.0,1.0
PF12018,7,0.0,0.1428571428571429,0.0,0.1428571428571429,0.1428571428571429
PF03961,4,0.0,0.0,0.0,0.0,0.0
PF04750,4,0.25,0.25,0.0,0.25,0.25
PF06268,1,1.0,0.0,1.0,1.0,0.0
PF00487,14,0.0,0.0,0.0,0.1428571428571429,0.0
PF04116,1,0.0,0.0,1.0,1.0,0.0
PF05833,3,0.0,0.0,0.0,0.0,0.0
PF07729,6,0.0,0.0,0.16666666666666663,0.16666666666666663,0.0
PF09532,2,0.5,0.5,0.0,0.5,0.0
PF01032,4,0.0,0.0,0.0,0.0,0.0
PF13353,3,1.0,1.0,1.0,1.0,0.6666666666666667
PF13394,3,1.0,0.6666666666666667,1.0,0.33333333333333337,1.0
PF00210,1,0.0,0.0,0.0,0.0,0.0
PF12902,1,0.0,0.0,0.0,0.0,0.0
PF00762,4,0.0,0.0,0.0,0.25,0.0
PF00167,1,0.0,0.0,0.0,0.0,0.0
PF02782,11,0.0,0.0,0.09090909090909094,0.09090909090909094,0.0
PF08702,21,0.2857142857142857,0.1428571428571429,0.2857142857142857,0.0,0.0
PF09603,2,0.0,0.0,0.5,0.0,0.0
PF15941,2,0.0,0.0,0.5,0.0,0.5
PF12351,4,0.0,0.0,0.5,0.0,0.0
PF00419,7,0.0,0.0,0.5714285714285714,0.0,0.0
PF08495,11,0.0,0.0,0.09090909090909094,0.18181818181818177,0.0
PF10442,4,0.0,0.0,0.0,0.5,0.0
PF11614,1,0.0,0.0,0.0,0.0,0.0
PF05751,5,0.0,0.0,0.0,0.4,0.19999999999999996
PF18023,2,0.0,0.0,1.0,0.5,0.0
PF04620,1,1.0,0.0,0.0,0.0,1.0
